Name,date_of_birth,goals,outfielder_block,touches,goal_assist,appearances,clean_sheet,mins_played,yellow_card,red_card,total_pass,big_chance_missed,total_offside,total_tackle,fouls,dispossessed,total_clearance
Sergio Reguilón,1996-12-15,2.0,8.0,1308.0,3.0,25.0,6.0,1922.0,4.0,0.0,771.0,3.0,1.0,40.0,22.0,13.0,39.0
Lucas Moura,1992-08-12,2.0,0.0,1152.0,6.0,34.0,2.0,1772.0,4.0,0.0,725.0,1.0,3.0,25.0,20.0,33.0,18.0
Jay Rodríguez,1989-07-28,2.0,1.0,530.0,2.0,29.0,3.0,1374.0,3.0,0.0,302.0,4.0,17.0,20.0,31.0,13.0,12.0
Oriol Romeu,1991-09-23,2.0,8.0,2111.0,2.0,36.0,6.0,2895.0,9.0,0.0,1673.0,1.0,0.0,77.0,46.0,16.0,40.0
Fernandinho,1985-05-03,2.0,2.0,956.0,1.0,19.0,2.0,958.0,1.0,0.0,838.0,2.0,0.0,21.0,14.0,7.0,13.0
Romain Saïss,1990-03-25,2.0,21.0,2207.0,0.0,31.0,11.0,2708.0,6.0,0.0,1781.0,2.0,3.0,40.0,30.0,5.0,149.0
Davinson Sánchez,1996-06-11,2.0,16.0,1347.0,0.0,23.0,10.0,1626.0,4.0,0.0,1126.0,1.0,1.0,41.0,16.0,2.0,54.0
João Moutinho,1986-09-07,2.0,8.0,2396.0,1.0,35.0,10.0,2975.0,4.0,0.0,1920.0,0.0,0.0,74.0,36.0,20.0,32.0
Josh Sargent,2000-02-19,2.0,2.0,696.0,1.0,26.0,1.0,1578.0,1.0,0.0,393.0,2.0,4.0,26.0,9.0,25.0,17.0
Fabian Schär,1991-12-19,2.0,18.0,1271.0,2.0,25.0,6.0,2161.0,4.0,0.0,986.0,0.0,3.0,16.0,24.0,5.0,95.0
Jonjo Shelvey,1992-02-26,2.0,7.0,1139.0,1.0,24.0,6.0,1985.0,5.0,1.0,899.0,0.0,0.0,30.0,18.0,5.0,19.0
Moussa Sissoko,1989-08-15,2.0,13.0,1682.0,1.0,36.0,4.0,3221.0,5.0,0.0,1144.0,5.0,2.0,53.0,35.0,53.0,60.0
Douglas Luiz,1998-05-08,2.0,7.0,1936.0,3.0,34.0,5.0,2720.0,7.0,0.0,1452.0,0.0,0.0,59.0,37.0,17.0,22.0
Ferran Torres,2000-02-28,2.0,0.0,108.0,1.0,4.0,1.0,305.0,0.0,0.0,70.0,1.0,1.0,2.0,1.0,2.0,0.0
Kieran Trippier,1990-09-18,2.0,3.0,354.0,0.0,6.0,1.0,429.0,0.0,0.0,203.0,0.0,0.0,17.0,3.0,1.0,10.0
Donny van de Beek,1997-04-17,2.0,3.0,382.0,0.0,15.0,1.0,552.0,1.0,0.0,275.0,0.0,0.0,21.0,9.0,9.0,5.0
Matej Vydra,1992-04-30,2.0,1.0,228.0,3.0,22.0,1.0,666.0,1.0,0.0,102.0,1.0,5.0,12.0,9.0,8.0,9.0
Adam Webster,1995-01-03,2.0,17.0,1355.0,0.0,22.0,4.0,1431.0,5.0,0.0,1152.0,1.0,0.0,26.0,16.0,1.0,62.0
Wout Weghorst,1992-08-06,2.0,5.0,685.0,3.0,20.0,2.0,1457.0,3.0,0.0,426.0,6.0,9.0,17.0,30.0,29.0,13.0
Joe Willock,1999-08-19,2.0,6.0,971.0,0.0,29.0,3.0,2042.0,0.0,0.0,544.0,3.0,0.0,64.0,34.0,20.0,8.0
Rayan Aït-Nouri,2001-06-05,1.0,2.0,1398.0,2.0,23.0,5.0,1827.0,4.0,0.0,754.0,0.0,3.0,64.0,14.0,27.0,30.0
Kristoffer Ajer,1998-04-16,1.0,11.0,1151.0,3.0,24.0,5.0,1987.0,5.0,0.0,723.0,0.0,0.0,29.0,12.0,7.0,71.0
Marc Albrighton,1989-11-17,1.0,3.0,749.0,2.0,17.0,2.0,1127.0,3.0,0.0,427.0,1.0,2.0,31.0,6.0,8.0,14.0
Thiago Alcântara,1991-04-10,1.0,2.0,1756.0,4.0,25.0,3.0,1533.0,2.0,0.0,1498.0,1.0,0.0,48.0,19.0,13.0,12.0
Dele Alli,1996-04-10,1.0,7.0,624.0,0.0,21.0,3.0,988.0,4.0,0.0,366.0,1.0,4.0,21.0,21.0,25.0,23.0
Miguel Almirón,1994-02-09,1.0,1.0,811.0,0.0,30.0,0.0,1720.0,2.0,0.0,485.0,0.0,9.0,47.0,17.0,24.0,10.0
Cédric Soares,1991-08-30,1.0,7.0,1295.0,1.0,21.0,3.0,1485.0,3.0,0.0,874.0,0.0,3.0,38.0,15.0,11.0,30.0
César Azpilicueta,1989-08-27,1.0,9.0,2067.0,2.0,27.0,5.0,2074.0,3.0,0.0,1605.0,2.0,2.0,51.0,25.0,10.0,61.0
Leon Bailey,1997-08-08,1.0,1.0,400.0,2.0,18.0,1.0,756.0,3.0,0.0,188.0,0.0,4.0,17.0,12.0,24.0,2.0
Shandon Baptiste,1998-04-07,1.0,0.0,462.0,0.0,22.0,0.0,905.0,0.0,1.0,298.0,0.0,1.0,14.0,6.0,12.0,11.0
Ricardo Pereira,1993-10-05,1.0,1.0,858.0,3.0,14.0,1.0,992.0,3.0,0.0,538.0,0.0,0.0,37.0,6.0,6.0,29.0
Ross Barkley,1993-12-04,1.0,0.0,166.0,0.0,6.0,0.0,176.0,0.0,0.0,121.0,2.0,0.0,0.0,2.0,7.0,0.0
Ashley Barnes,1989-10-29,1.0,1.0,338.0,0.0,23.0,0.0,800.0,4.0,0.0,190.0,1.0,9.0,11.0,21.0,22.0,5.0
Yves Bissouma,1996-08-29,1.0,3.0,1594.0,2.0,26.0,6.0,2116.0,10.0,0.0,1187.0,1.0,0.0,76.0,30.0,25.0,47.0
Jarrad Branthwaite,2002-06-26,1.0,2.0,165.0,0.0,6.0,0.0,388.0,0.0,1.0,115.0,0.0,0.0,4.0,3.0,1.0,20.0
Dan Burn,1992-05-08,1.0,24.0,1597.0,1.0,29.0,9.0,2462.0,8.0,0.0,1220.0,1.0,5.0,38.0,26.0,4.0,144.0
Moisés Caicedo,2001-11-01,1.0,4.0,390.0,1.0,8.0,2.0,664.0,2.0,0.0,274.0,0.0,1.0,16.0,7.0,10.0,7.0
Timothy Castagne,1995-12-04,1.0,9.0,1638.0,0.0,27.0,4.0,2126.0,1.0,0.0,1102.0,2.0,1.0,67.0,15.0,11.0,46.0
João Cancelo,1994-05-26,1.0,3.0,3908.0,7.0,36.0,19.0,3228.0,7.0,0.0,2951.0,4.0,2.0,83.0,34.0,24.0,31.0
Calum Chambers,1995-01-19,1.0,11.0,706.0,0.0,13.0,3.0,1000.0,1.0,0.0,560.0,0.0,0.0,21.0,14.0,2.0,49.0
Séamus Coleman,1988-10-10,1.0,11.0,1636.0,0.0,30.0,7.0,2658.0,4.0,0.0,951.0,0.0,2.0,61.0,14.0,20.0,74.0
Jack Cork,1989-06-24,1.0,4.0,772.0,0.0,20.0,6.0,1676.0,4.0,0.0,565.0,0.0,1.0,20.0,31.0,20.0,27.0
Marc Cucurella,1998-07-21,1.0,14.0,2827.0,1.0,35.0,8.0,3092.0,6.0,0.0,1901.0,0.0,3.0,93.0,28.0,15.0,65.0
Stuart Dallas,1991-04-18,1.0,14.0,2176.0,1.0,34.0,4.0,2922.0,5.0,0.0,1352.0,1.0,2.0,93.0,33.0,25.0,56.0
Ben Davies,1993-04-23,1.0,19.0,1936.0,1.0,29.0,11.0,2539.0,6.0,0.0,1582.0,3.0,5.0,36.0,31.0,10.0,73.0
Tom Davies,1998-06-29,1.0,1.0,129.0,0.0,6.0,0.0,232.0,1.0,0.0,81.0,0.0,0.0,3.0,4.0,1.0,8.0
Kiernan Dewsbury-Hall,1998-09-05,1.0,8.0,1625.0,2.0,28.0,6.0,2105.0,4.0,0.0,1148.0,1.0,0.0,39.0,20.0,46.0,23.0
Kieran Dowell,1997-10-09,1.0,1.0,446.0,1.0,19.0,1.0,913.0,0.0,0.0,293.0,2.0,0.0,18.0,19.0,15.0,4.0
Shane Duffy,1991-12-31,1.0,18.0,1230.0,0.0,18.0,4.0,1434.0,7.0,0.0,1029.0,0.0,1.0,15.0,15.0,0.0,75.0
Lewis Dunk,1991-11-20,1.0,28.0,2219.0,0.0,29.0,10.0,2574.0,2.0,1.0,1945.0,1.0,0.0,10.0,9.0,3.0,111.0
Anwar El-Ghazi,1995-05-02,1.0,0.0,211.0,1.0,11.0,1.0,394.0,2.0,0.0,112.0,0.0,2.0,5.0,8.0,7.0,2.0
Christian Eriksen,1992-02-13,1.0,1.0,767.0,4.0,11.0,4.0,938.0,1.0,0.0,544.0,0.0,0.0,13.0,5.0,9.0,12.0
Jonny Evans,1988-01-02,1.0,13.0,1179.0,1.0,18.0,1.0,1350.0,3.0,0.0,1007.0,1.0,0.0,24.0,15.0,0.0,59.0
Eberechi Eze,1998-06-28,1.0,1.0,412.0,1.0,13.0,1.0,602.0,1.0,0.0,273.0,0.0,0.0,10.0,5.0,10.0,1.0
Saman Ghoddos,1993-09-05,1.0,0.0,318.0,1.0,17.0,0.0,528.0,2.0,0.0,190.0,1.0,0.0,17.0,12.0,4.0,10.0
Dan Gosling,1990-01-31,1.0,0.0,91.0,0.0,4.0,1.0,164.0,0.0,0.0,63.0,0.0,0.0,2.0,2.0,1.0,3.0
Grant Hanley,1991-11-19,1.0,45.0,1741.0,0.0,33.0,6.0,2899.0,2.0,0.0,1310.0,2.0,2.0,44.0,22.0,1.0,173.0
Kortney Hause,1995-07-15,1.0,5.0,277.0,0.0,7.0,1.0,397.0,0.0,0.0,222.0,0.0,1.0,3.0,6.0,1.0,12.0
Isaac Hayden,1995-03-21,1.0,8.0,495.0,0.0,14.0,0.0,1002.0,5.0,0.0,332.0,0.0,0.0,28.0,14.0,8.0,23.0
Jeff Hendrick,1992-01-30,1.0,0.0,37.0,0.0,3.0,0.0,70.0,0.0,0.0,29.0,0.0,0.0,1.0,1.0,1.0,1.0
Rob Holding,1995-09-19,1.0,18.0,596.0,0.0,15.0,2.0,840.0,2.0,1.0,476.0,1.0,0.0,13.0,9.0,3.0,42.0
Callum Hudson-Odoi,2000-11-06,1.0,0.0,556.0,2.0,15.0,1.0,966.0,1.0,0.0,354.0,3.0,4.0,14.0,10.0,20.0,5.0
